DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
11/1/2023,111,120,117,101,0
11/2/2023,100,111,118,111,0
11/3/2023,108,105,101,111,0
11/4/2023,117,114,115,105,0
11/5/2023,104,102,111,106,0
11/6/2023,112,108,117,104,0
11/7/2023,115,117,117,105,0
11/8/2023,115,118,107,104,0
11/9/2023,120,106,101,116,0
11/10/2023,107,120,105,118,0
11/11/2023,103,110,111,113,0
11/12/2023,102,110,112,110,0
11/13/2023,101,114,117,116,0
11/14/2023,117,115,111,105,0
11/15/2023,107,112,118,114,0
11/16/2023,116,115,115,101,0
11/17/2023,116,115,105,116,0
11/18/2023,105,113,106,118,0
11/19/2023,119,117,111,103,0
11/20/2023,114,100,100,107,0
11/21/2023,102,102,110,118,0
11/22/2023,103,114,101,114,0
11/23/2023,113,104,117,115,0
11/24/2023,115,117,119,114,0
11/25/2023,107,107,101,113,0
11/26/2023,109,109,119,112,0
11/27/2023,105,108,108,117,0
11/28/2023,106,104,104,116,0
11/29/2023,104,116,108,110,0
11/30/2023,106,117,119,105,0